card_id,card_brand,card_bin,card_number,expiry_date,card_sequence_number,card_security_code,card_pin,card_description
VisaR1,VISA,4176669999,4176669999000104,122031,,012,1234,VISA Test Card R1
card01,MASTERCARD,54133300,5413330089600010,122031,,123,4315,Mastercard PPC_MCD_01
card02,MASTERCARD,,,122031,,123,,"Mastercard MCC_351
"
card03,MASTERCARD,,,122031,,123,,"M-TIP15_T01_S01
"
card04,MASTERCARD,,,122031,,123,,"MC-I USD (DCC)
"
card05,MASTERCARD,,,122031,,123,,"MC-I JPY (DCC)
"
card06,MASTERCARD,,,122031,,123,,"MC-I KWD (DCC) 
"
card07,MASTERCARD,22227103,2222710310001013,122031,001,251,1013,MasterCard Art. 00482 (EUR)
card08,MASTERCARD,,,122031,,,,
card09,,,,122031,,,,
card10,MAESTRO,,,122031,,,,
card11,,,,122031,,,,
card12,,,,122031,,,,
card20,VISA,4761739090,4761739090000080,122031,,729,1234,VISA Paywave
card21,,,,122031,,,,
card22,,,,122031,,,,
card23,,,,122031,,,,
card24,,,,122031,,,,
card25,,,,122031,,,,
card26,,,,122031,,,,
card27,,,,122031,,,,
card28,,,,122031,,,,
card29,,,,122031,,,,
card30,,,,122031,,,,
card31,,,,122031,,,,
card32,,,,122031,,,,
card33,,,,122031,,,,
card34,,,,122031,,,,
card35,,,,122031,,,,
card36,,,,122031,,,,
card37,,,,122031,,,,
card38,,,,122031,,,,
card39,,,,122031,,,,
card40,,,,122031,,,,
card41,,,,122031,,,,
card42,,,,122031,,,,
card43,,,,122031,,,,
card44,,,,122031,,,,
card45,,,,122031,,,,
card46,,,,122031,,,,
card47,,,,122031,,,,
card48,,,,122031,,,,
card49,,,,122031,,,,
card50,,,,122031,,,,
card51,,,,122031,,,,
card52,,,,122031,,,,
card53,,,,122031,,,,
card54,,,,122031,,,,
card55,,,,122031,,,,
card56,,,,122031,,,,
